Time (hours),Spring Mean,Spring Std,Summer Mean,Summer Std,Autumn Mean,Autumn Std
619.4779477947795,465.6,76.97168310489255,436.0,67.3542871686725,422.6,76.53914031395962
619.5499549954995,465.7,76.87789018957271,436.0,67.3542871686725,422.6,76.53914031395962
619.6219621962197,465.8,76.70697491102096,436.1,67.48103437262948,422.6,76.53914031395962
619.6939693969397,465.8,76.70697491102096,436.1,67.48103437262948,422.7,76.52195763308725
619.7659765976598,465.8,76.70697491102096,436.2,67.44449569831478,422.8,76.65089692886835
619.8379837983798,465.9,76.62173320931863,436.3,67.26968113496599,422.8,76.65089692886835
619.9099909990999,466.3,77.16093571231494,436.4,67.34864512371425,422.8,76.65089692886835
619.98199819982,466.4,77.27379892305024,436.4,67.34864512371425,422.9,76.48849586702565
620.0540054005401,466.5,77.25056634096607,436.6,67.42729417676495,423.0,76.38848080699078
620.1260126012602,466.5,77.25056634096607,436.6,67.42729417676495,423.1,76.34978716407794
620.1980198019802,466.7,77.28007505172339,436.6,67.42729417676495,423.3,76.26670308856939
620.2700270027003,466.8,77.19689112911219,436.7,67.55597678962239,423.3,76.26670308856939
620.3420342034203,466.9,77.10311277763044,436.8,67.46673254278734,423.3,76.26670308856939
620.4140414041404,466.9,77.10311277763044,436.8,67.46673254278734,423.3,76.26670308856939
620.4860486048605,467.0,77.21787357859579,436.9,67.37870583500398,423.3,76.26670308856939
620.5580558055806,467.1,77.16922961906515,436.9,67.37870583500398,423.5,76.48692698755781
620.6300630063007,467.1,77.16922961906515,436.9,67.37870583500398,423.5,76.48692698755781
620.7020702070207,467.2,77.24998381876853,437.0,67.4581351654491,423.6,76.3258802766139
620.7740774077408,467.4,77.36691799470881,437.0,67.4581351654491,423.7,76.2549014818064
620.8460846084608,467.4,77.36691799470881,437.0,67.4581351654491,423.7,76.2549014818064
620.918091809181,467.4,77.36691799470881,437.2,67.33468645505079,423.7,76.2549014818064
620.990099009901,467.4,77.36691799470881,437.2,67.33468645505079,423.7,76.2549014818064
