Time (hours),Mean accumulation,Standard deviation
150.35103510351036,7.764,2.9127828618007214
150.42304230423042,7.774,2.919404733845595
150.4950495049505,7.784,2.923584101749085
150.56705670567058,7.796,2.9258133911785977
150.63906390639065,7.811,2.932111696371741
150.7110711071107,7.818,2.9299959044339974
150.78307830783078,7.831,2.9336732946938704
150.85508550855087,7.848,2.9381790279014606
150.92709270927094,7.866,2.938714685028112
150.999099909991,7.882,2.9451784326250925
151.07110711071107,7.898,2.949846775681746
151.14311431143113,7.908,2.9501755879947185
151.21512151215123,7.917,2.9519673101170985
151.2871287128713,7.928,2.954118481036265
151.35913591359136,7.94,2.951677489157649
151.43114311431142,7.949,2.957769260777453
151.50315031503152,7.955,2.958880700535253
151.57515751575158,7.965,2.96610434745644
151.64716471647165,7.979,2.969269101984525
151.71917191719172,7.993,2.9727009604062054
151.7911791179118,8.006,2.975897175643007
151.86318631863188,8.015,2.9800629187988656
151.93519351935194,8.026,2.981161518603108
152.007200720072,8.036,2.980051006274889
152.07920792079207,8.043,2.9807970410613303
152.15121512151217,8.053,2.9826483198660845
152.22322232223223,8.066,2.9845676403794235
152.2952295229523,8.077,2.9935048020673105
152.36723672367236,8.09,2.9936432653207037
152.43924392439246,8.102,3.0035971767199414
152.51125112511252,8.113,3.0056997521375934
152.5832583258326,8.118,3.0033441361255937
152.65526552655265,8.136,3.0095687398695428
152.72727272727272,8.142,3.0099561458599307
152.7992799279928,8.149,3.0051287825981863
152.87128712871288,8.161,3.0091658312562295
152.94329432943294,8.176,3.0081595702355965
153.015301530153,8.178,3.0123605361908377
153.0873087308731,8.187,3.014636130613441
153.15931593159317,8.199,3.0148630151302074
153.23132313231324,8.211,3.020675255634078
153.3033303330333,8.227,3.022163298036691
153.37533753375337,8.235,3.022544457902975
153.44734473447346,8.253,3.0303450298604613
153.51935193519353,8.265,3.027007598272592
153.5913591359136,8.277,3.0312160925938705
153.66336633663366,8.293,3.0339991760051563
153.73537353735375,8.308,3.0366323452140103
153.80738073807382,8.318,3.034283440946151
153.87938793879388,8.33,3.0402467005162546
153.95139513951395,8.345,3.0417059358195644
154.02340234023401,8.357,3.0449221664929143
154.0954095409541,8.364,3.05016458572321
154.16741674167417,8.376,3.0529697017821844
154.23942394239424,8.384,3.056884688698603
154.3114311431143,8.399,3.06395153355924
154.3834383438344,8.412,3.063699724189693
154.45544554455446,8.423,3.063343108435615
154.52745274527453,8.43,3.0684034936755022
154.5994599459946,8.437,3.0718123315072496
154.6714671467147,8.449,3.070406976281808
154.74347434743476,8.461,3.0728616955535184
154.81548154815482,8.465,3.0745365504413895
154.8874887488749,8.48,3.0798701271319984
154.95949594959495,8.495,3.079281572055409
155.03150315031505,8.511,3.0864022744937145
155.1035103510351,8.525,3.0882640754961375
155.17551755175518,8.538,3.0942779448523994
155.24752475247524,8.551,3.098289689489994
155.31953195319534,8.561,3.097786144975154
155.3915391539154,8.569,3.0979410904663713
155.46354635463547,8.582,3.0985925837386303
155.53555355535553,8.59,3.1006289684514017
155.6075607560756,8.597,3.10364157080034
155.6795679567957,8.608,3.1058551157450993
155.75157515751576,8.62,3.1041262860908265
155.82358235823583,8.635,3.111233678141194
155.8955895589559,8.649,3.1183006590128546
155.96759675967598,8.664,3.1159435168179748
156.03960396039605,8.68,3.1233955881380093
156.11161116111612,8.692,3.1213996860382944
156.18361836183618,8.704,3.1203179325190566
156.25562556255625,8.722,3.1258144538663815
156.32763276327634,8.738,3.1284750278690137
156.3996399639964,8.752,3.1280179027620676
156.47164716471647,8.763,3.126792445942006
156.54365436543654,8.771,3.1296260159961613
156.61566156615663,8.78,3.1297923253787903
156.6876687668767,8.789,3.1340834385829632
156.75967596759676,8.804,3.133940650363371
156.83168316831683,8.817,3.1355240391360524
156.9036903690369,8.829,3.138432570567675
156.975697569757,8.837,3.146495034161007
157.04770477047705,8.846,3.1432919049938555
157.11971197119712,8.853,3.142513484457936
157.19171917191719,8.862,3.147849424607224
157.26372637263728,8.874,3.1508925719548118
157.33573357335734,8.882,3.1607081485009005
157.4077407740774,8.903,3.1628453961583394
157.47974797479748,8.914,3.160791672983215
157.55175517551757,8.929,3.16479999368049
157.62376237623764,8.94,3.171498068736603
157.6957695769577,8.959,3.1788864402491677
157.76777677767777,8.972,3.188920820591193
157.83978397839783,8.985,3.2010584187109083
157.91179117911793,8.996,3.209981931413322
157.983798379838,9.01,3.2112147234341104
158.05580558055806,9.023,3.215660274344908
158.12781278127812,9.041,3.2133034403865506
158.19981998199822,9.053,3.2168604259432767
158.27182718271828,9.068,3.2207725781246945
158.34383438343835,9.077,3.2238286244774343
158.41584158415841,9.092,3.2297888475874097
158.48784878487848,9.104,3.2244664674950454
158.55985598559857,9.115,3.231064066217189
158.63186318631864,9.127,3.2265881360967077
158.7038703870387,9.141,3.2287952861709823
158.77587758775877,9.154,3.230214234381354
158.84788478847886,9.167,3.2266253268701655
158.91989198919893,9.182,3.233400068039833
