Time (hours),Mean Surface Concentration,Std Surface Concentration,Mean Surface Concentration (Smooth),Std Surface Concentration (Smooth)
88.10440522026101,1856.229,7.9052235262514845,1856.2266119369524,7.886922033068281
88.20441022051104,1856.168,7.90643889497667,1856.1788181647723,7.892710990949229
88.30441522076104,1856.121,7.8978705357837065,1856.1310808331266,7.898450692364201
88.40442022101105,1856.08,7.897062745097052,1856.0833910903764,7.904166061272413
88.50442522126107,1856.032,7.896263420124733,1856.035738945735,7.909883551268578
88.60443022151108,1855.994,7.908474189121443,1855.9881140028156,7.915630245949886
88.70443522176109,1855.95,7.9164070132857525,1855.9405047789603,7.921433233295087
88.80444022201111,1855.891,7.914108856971821,1855.8928993813988,7.9273194391273405
88.90444522226112,1855.841,7.923491591463936,1855.8452851557427,7.93331408684689
89.00445022251112,1855.798,7.928883654083973,1855.7976486509895,7.939440369845801
89.10445522276115,1855.751,7.92760991724492,1855.7499756115053,7.945718496850043
89.20446022301115,1855.7,7.939899243693203,1855.7022516580016,7.952165613802069
89.30446522326118,1855.651,7.943626312963119,1855.6544617222257,7.95879495625554
89.40447022351118,1855.605,7.939204935004504,1855.6065908534106,7.965615912196431
89.50447522376119,1855.559,7.948365806881333,1855.558624288722,7.972633828032182
89.60448022401121,1855.521,7.9491860589622725,1855.5105475657483,7.979849905047512
89.70448522426122,1855.472,7.95532626609367,1855.4623474798686,7.987261548393954
89.80449022451123,1855.415,7.981527109519805,1855.4140121228988,7.994862624873322
89.90449522476125,1855.368,7.989779471299548,1855.3655314651414,8.002643684138583
90.00450022501126,1855.333,8.00550504340607,1855.3168975074757,8.010592640932684
90.10450522526126,1855.281,8.024465028897563,1855.268104927868,8.018695358952536
90.20451022551129,1855.248,8.027732930286092,1855.2191514564938,8.026935835505093
90.30451522576129,1855.193,8.039263088119473,1855.1700376303506,8.035296742094005
90.4045202260113,1855.142,8.060386839352052,1855.1207674865434,8.043760346001863
90.50452522626132,1855.095,8.059651047036716,1855.071347899248,8.052308590810872
90.60453022651133,1855.042,8.063388617696662,1855.0217887688507,8.060923644133625
90.70453522676135,1854.99,8.06845090460368,1854.9721024263413,8.069587748377911
90.80454022701136,1854.935,8.075814200438254,1854.9223037718757,8.078284305429571
90.90454522726137,1854.883,8.077085551113107,1854.8724092287673,8.08699727050912
91.00455022751139,1854.813,8.096914906308417,1854.8224366242073,8.095711485748028
91.1045552277614,1854.763,8.099804380353897,1854.7724041345762,8.104413194570135
91.2045602280114,1854.707,8.105131152547747,1854.7223296296636,8.11308960412574
91.30456522826142,1854.656,8.120693566438781,1854.6722306591778,8.121729118067963
91.40457022851143,1854.612,8.125481893401734,1854.622123689005,8.130321094944653
91.50457522876144,1854.564,8.140264369171316,1854.5720231696632,8.138856733309314
91.60458022901146,1854.51,8.158547664872728,1854.521941901162,8.147328141918848
91.70458522926147,1854.464,8.174882506800978,1854.4718904497627,8.155728702516
91.80459022951148,1854.41,8.178257760672503,1854.4218769271454,8.164053417270672
91.9045952297615,1854.364,8.178967171960018,1854.371907444561,8.172298452804696
92.0046002300115,1854.315,8.191323153190837,1854.3219859570438,8.18046130622691
92.10460523026151,1854.279,8.19555727208345,1854.2721148778787,8.188540860928905
92.20461023051153,1854.218,8.196003660321276,1854.2222949064412,8.196537236560587
92.30461523076154,1854.175,8.212330667965105,1854.1725255324473,8.204451496945591
92.40462023101156,1854.132,8.224997021276065,1854.1228052390902,8.212285718096972
92.50462523126157,1854.082,8.237188598059415,1854.0731319452739,8.2200425571443
92.60463023151158,1854.034,8.23339808341609,1854.0235037849322,8.227725297904504
92.7046352317616,1853.973,8.224735314890106,1853.973918389557,8.235337149424678
92.80464023201161,1853.92,8.23696546065357,1853.9243740849406,8.242881748249212
92.90464523226161,1853.867,8.252594198190046,1853.874869459567,8.250362194604339
93.00465023251164,1853.82,8.255398233883074,1853.8254033691082,8.257781052934302
93.10465523276164,1853.767,8.265271380904565,1853.7759750256794,8.265140301756722
93.20466023301165,1853.727,8.266950526040409,1853.726584267536,8.272440996880052
93.30466523326167,1853.677,8.279412479155743,1853.6772309453095,8.27968306914843
93.40467023351168,1853.628,8.283454351899335,1853.627915166782,8.286865941794742
93.50467523376169,1853.584,8.289930277149496,1853.578636969255,8.293987730843362
93.60468023401171,1853.522,8.303223229565733,1853.5293960769468,8.301045707310452
93.70468523426172,1853.475,8.314648218656021,1853.4801920608393,8.308036749670688
93.80469023451174,1853.422,8.323455772694397,1853.4310243960597,8.314957021218827
93.90469523476175,1853.381,8.321648814988533,1853.3818919099404,8.321802235744086
94.00470023501175,1853.329,8.333952183688133,1853.332792969419,8.328568651941053
94.10470523526178,1853.279,8.349081326708944,1853.283725625729,8.335252420162826
94.20471023551178,1853.233,8.36269759108865,1853.234687788413,8.341850053757977
94.30471523576179,1853.179,8.357090342936305,1853.185676843385,8.348358920026298
94.40472023601181,1853.129,8.36064345609831,1853.1366903552885,8.354776828800318
94.50472523626182,1853.084,8.365819983719478,1853.0877257515722,8.36110245232471
94.60473023651183,1853.046,8.372925653557415,1853.038780370193,8.36733569047889
94.70473523676185,1852.997,8.370363851111856,1852.9898520469128,8.373476886430138
94.80474023701186,1852.95,8.382929082367323,1852.9409387177811,8.379527621020552
94.90474523726186,1852.893,8.388298456778905,1852.892038606525,8.385490019391646
95.00475023751189,1852.856,8.394835555268498,1852.8431503446336,8.391367047425064
95.10475523776189,1852.807,8.40629234561826,1852.7942733762904,8.39716189968468
95.2047602380119,1852.74,8.408709770232294,1852.7454068639615,8.402878698365758
95.30476523826192,1852.689,8.418686298942387,1852.6965507575765,8.408521542541553
95.40477023851193,1852.641,8.411427881162641,1852.647705198534,8.41409437472906
95.50477523876195,1852.59,8.423295079717917,1852.5988703746032,8.419601346312856
95.60478023901196,1852.542,8.428774288115665,1852.5500466800622,8.425046164556747
95.70478523926197,1852.498,8.431606964274382,1852.5012345760244,8.43043240782233
95.80479023951199,1852.448,8.439152564090783,1852.452434724812,8.435763362814033
95.904795239762,1852.396,8.432863333411724,1852.4036474318805,8.441042177462045
96.004800240012,1852.348,8.436165953796797,1852.3548726149854,8.446271263138595
96.10480524026202,1852.309,8.448995147353324,1852.3061100378295,8.451452647348889
96.20481024051203,1852.264,8.461105365139941,1852.2573589303806,8.456588438194904
96.30481524076204,1852.218,8.468794247116872,1852.2086182238745,8.461680588341794
96.40482024101206,1852.174,8.472645631678462,1852.1598856902583,8.46673068500692
96.50482524126207,1852.117,8.477694910764365,1852.1111585830163,8.471740599772815
96.60483024151208,1852.074,8.486608509881897,1852.062433299609,8.476712351247429
96.7048352417621,1852.012,8.483622811040101,1852.0137049575649,8.481648497230049
96.8048402420121,1851.96,8.493668229922816,1851.9649678700787,8.486551626124292
96.90484524226213,1851.904,8.491100282060037,1851.91621468537,8.491424952247689
97.00485024251213,1851.855,8.49693915477802,1851.8674370720048,8.496272174694267
97.10485524276214,1851.803,8.504010289269413,1851.8186255590272,8.50109800872354
97.20486024301216,1851.762,8.5060775919339,1851.7697697602814,8.505907631510745
97.30486524326217,1851.712,8.506295080703477,1851.7208581503367,8.510707117516725
97.40487024351218,1851.672,8.521643972849365,1851.6718792108934,8.515503385368167
97.5048752437622,1851.634,8.519861735967321,1851.6228208741413,8.520304273417093
97.60488024401221,1851.581,8.521821342882054,1851.573671566872,8.525118352593633
97.70488524426221,1851.532,8.529066537435392,1851.5244205606093,8.529955172163836
97.80489024451224,1851.49,8.53345768138567,1851.4750582742463,8.534825119036627
97.90489524476224,1851.438,8.530190853667913,1851.4255770178486,8.539739456771592
98.00490024501225,1851.389,8.536139584144587,1851.3759711338494,8.54471024388975
98.10490524526227,1851.345,8.547980755710691,1851.326237642264,8.54974991179063
