Time (hours),Mean surface MP concentration,Standard deviation
49.54095409540954,75962.2,9.314504817756013
49.61296129612961,75962.2,9.314504817756013
49.684968496849685,75962.2,9.314504817756013
49.75697569756976,75961.7,9.263368717696602
49.82898289828983,75961.7,9.263368717696602
49.9009900990099,75961.7,9.263368717696602
49.972997299729975,75961.7,9.263368717696602
50.04500450045005,75961.4,9.25418824100742
50.11701170117012,75961.4,9.25418824100742
50.18901890189019,75961.4,9.25418824100742
50.26102610261026,75961.4,9.25418824100742
50.33303330333033,75961.4,9.25418824100742
50.405040504050405,75961.4,9.25418824100742
50.47704770477048,75961.4,9.25418824100742
50.54905490549055,75961.4,9.25418824100742
50.62106210621062,75961.4,9.25418824100742
50.693069306930695,75961.4,9.25418824100742
50.76507650765077,75961.4,9.25418824100742
50.83708370837084,75961.4,9.25418824100742
50.909090909090914,75961.1,9.256889326334198
50.98109810981098,75961.1,9.256889326334198
51.05310531053105,75961.1,9.256889326334198
51.125112511251125,75960.3,9.716480844420989
51.1971197119712,75960.3,9.716480844420989
51.26912691269127,75960.3,9.716480844420989
51.34113411341134,75960.3,9.716480844420989
51.413141314131416,75960.3,9.716480844420989
51.48514851485149,75960.3,9.716480844420989
51.55715571557156,75960.3,9.716480844420989
51.629162916291634,75960.3,9.716480844420989
51.7011701170117,75960.3,9.716480844420989
51.77317731773177,75960.3,9.716480844420989
51.845184518451845,75960.3,9.716480844420989
51.91719171917192,75959.6,9.308061022576076
51.98919891989199,75959.6,9.308061022576076
52.06120612061206,75959.6,9.308061022576076
52.133213321332136,75959.6,9.308061022576076
52.20522052205221,75959.6,9.308061022576076
52.27722772277228,75959.6,9.308061022576076
52.349234923492354,75959.6,9.308061022576076
52.42124212421242,75959.6,9.308061022576076
52.49324932493249,75959.3,9.434511116109832
52.565256525652565,75959.3,9.434511116109832
52.63726372637264,75958.4,9.446692542895635
52.70927092709271,75958.4,9.446692542895635
52.78127812781278,75958.4,9.446692542895635
52.853285328532856,75958.4,9.446692542895635
52.92529252925293,75958.4,9.446692542895635
52.997299729973,75958.4,9.446692542895635
