CruiseTow,CruiseName,Event,GridLine,GridStation,NorthSouthFar,Offshore,VolumeFilteredM3,DensES7,DensES8,DensES9,DensES10,DensES11,DensES12,DensES13,DensES14,DensES15,DensES16,DensES17,DensES18,DensES19,DensES20,DensES21,DensES22,DensES23,DensES24,DensES25,DensES26,DensES27,DensES28,DensES29,DensES30,DensES31,DensES32,DensES33,DensES34,DensES35,DensES36,DensES37,DensES38,DensES39,DensES40,DensES41,DensES42,DensES43,DensES44,DensES45,DensES46,DensES47,DensES48,DensES49,DensES50,DensES51,DensES52,DensES53,DensES54,DensES55,DensES56,DensES57,DensES58,DensES59,DensES60,DensES61,DensES62,DensES63,DensES64,DensES65
200033,LMG12-01,199,400,100,North,Shelf,9634.3,0,0,0,0.5086,0,0.5086,2.0344,2.543,1.5258,5.5946,8.6462,6.1032,8.1376,3.5602,4.5774,3.0516,1.0172,1.0172,0.5086,0,1.0172,0.5086,0,0,0,0,0,0,0,0.7816,1.5632,5.4711,6.2527,3.9079,7.0343,10.9422,15.6317,8.5974,6.2527,4.6895,3.9079,0,2.3448,0.7816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200035,LMG12-01,222,400,200,North,Slope,9220.8,0,0,0,0,0,0,0,0,0.1085,0,0,0,0,0,0.1085,0.1085,0,0,0,0,0.2169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1085,0.1085,0.1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200040,LMG12-01,254,300,100,South,Shelf,12584.1,0,0,0,0,0,0,0,0.1619,0.4858,0.4048,0.5668,0.8096,0.8096,1.3764,0.8096,0.9716,0.6477,0.2429,0.3239,0.1619,0.081,0.081,0,0,0,0.081,0,0,0.402,0.483,0.402,1.7671,2.0072,2.5683,6.0998,5.1367,3.2104,3.8525,1.6052,1.9262,0.6421,0.9631,0,1.2842,0.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200042,LMG12-01,269,300,40,South,Coast,11591.9,0,0,0,0,0,0,0,9.9353,9.9353,9.9353,9.9353,39.7414,49.6767,238.4482,149.0302,158.9655,158.9655,69.5474,9.9353,29.806,19.8707,9.9353,11.8869,0,1.9515,1.9515,23.5962,19.5155,27.3216,23.4186,17.5639,19.5155,15.6124,11.7093,7.8062,11.7093,1.9515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200044,LMG12-01,274,200,40,South,Coast,12304.1,0,0,0,0,0,99.3335,596.001,496.6675,1688.6694,1986.6699,695.3345,894.0015,198.667,1390.6689,695.3345,496.6675,99.3335,303.7257,99.3335,105.0587,116.5091,17.1756,40.0764,22.9008,45.8016,57.252,62.9772,45.8016,68.7024,80.1528,45.8016,45.8016,51.5268,22.9008,11.4504,5.7252,5.7252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200046,LMG12-01,284,200,0,South,Coast,11508.5,0,25.0328,25.0328,75.0984,50.0656,250.328,475.6232,475.6232,325.4264,350.4592,150.1968,175.2296,50.0656,0,50.0656,0,0,0,0,0,25.0328,0,1.034,0,0,0,2.068,1.034,3.1021,7.2381,7.2381,12.4082,12.4082,8.2721,17.5783,5.1701,12.4082,9.3062,1.034,1.034,0,2.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200048,LMG12-01,296,200,-40,South,Coast,9462.2,0,2.0555,4.1111,10.2777,26.7221,61.6665,36.9999,20.5555,26.7221,8.2222,6.1666,0,2.0555,0,0,0,0,0,0,0,0,0.2182,0.1091,0.3273,0.3273,0.5455,0.7637,0.8727,0.6546,0.3273,0.6546,0.7637,0.7637,0.1091,0.2182,0.1091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200050,LMG12-01,305,225,-21,South,Coast,11728.9,0,0,3.5545,24.8812,39.0991,42.6535,56.8714,56.8714,67.5347,39.0991,17.7723,7.1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200054,LMG12-01,320,213,-20,South,Coast,9926.3,0,0,0,45.2634,271.5803,407.3704,497.8972,362.107,543.1605,588.4239,316.8436,362.107,407.3704,407.3704,45.2634,90.5268,45.2634,45.2634,45.2634,45.2634,0,0,0,0.1007,0.403,0.1007,0.2015,0,0.3022,0.6045,0.3022,0.403,0,0.2015,0.2015,0.1007,0.2015,0,0,0,0,0,0,0.2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200056,LMG12-01,325,228,-5,South,Coast,10062.7,0,0,2.8393,1.4197,4.259,21.295,45.4294,25.554,15.6164,2.8393,1.4197,4.259,0,1.4197,1.4197,0,1.4197,0,0,4.259,1.4197,0,9.654,13.7712,22.0056,37.0546,37.0546,37.0546,41.1718,53.5233,32.9374,32.9374,24.7031,37.0546,12.3515,12.3515,12.3515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
