time_hours,mean_accum_20,std_accum_20,mean_accum_40,std_accum_40,mean_accum_60,std_accum_60,mean_accum_80,std_accum_80
311.2871287128713,207.0,30.44010512465422,191.5,25.90849281606323,171.3,24.690281488877357,153.8,23.70147674724088
311.3591359135914,207.0,30.44010512465422,191.7,25.888414397177748,171.3,24.690281488877357,153.8,23.70147674724088
311.43114311431145,207.0,30.44010512465422,191.7,25.888414397177748,171.3,24.690281488877357,153.8,23.70147674724088
311.5031503150315,207.0,30.44010512465422,191.7,25.888414397177748,171.3,24.690281488877357,153.8,23.70147674724088
311.5751575157516,207.1,30.398848662408252,191.7,25.888414397177748,171.4,24.662522174343806,153.8,23.70147674724088
311.64716471647165,207.2,30.583655765784446,191.7,25.888414397177748,171.4,24.662522174343806,153.9,23.670445707675217
311.7191719171917,207.4,30.67637527479412,191.8,26.01076700137849,171.4,24.662522174343806,153.9,23.670445707675217
311.7911791179118,207.5,30.621071176560758,191.9,26.185683111196468,171.4,24.662522174343806,153.9,23.670445707675217
311.86318631863185,207.5,30.621071176560758,192.1,26.1627597932634,171.4,24.662522174343806,154.1,23.76320685429473
311.93519351935197,207.6,30.806492822130856,192.1,26.1627597932634,171.4,24.662522174343806,154.2,23.78570999570961
312.00720072007203,207.6,30.806492822130856,192.3,26.153584840323514,171.5,24.699190270128287,154.2,23.78570999570961
312.0792079207921,207.6,30.806492822130856,192.3,26.153584840323514,171.6,24.61787968123981,154.3,23.702531510368257
312.15121512151217,207.7,30.958197621954675,192.4,26.023835228497738,171.8,24.465485893396842,154.7,23.56713813766958
312.22322232223223,207.7,30.958197621954675,192.5,25.981724346163016,171.8,24.465485893396842,154.7,23.56713813766958
312.2952295229523,208.0,31.22178726466504,192.5,25.981724346163016,172.1,24.521215304303336,154.7,23.56713813766958
312.36723672367236,208.1,31.168734334265164,192.6,26.157981573508305,172.1,24.521215304303336,154.9,23.5306183514161
312.43924392439243,208.2,31.18589424723941,192.6,26.157981573508305,172.3,24.674075463935825,154.9,23.5306183514161
312.5112511251125,208.2,31.18589424723941,192.6,26.157981573508305,172.3,24.674075463935825,154.9,23.5306183514161
312.5832583258326,208.2,31.18589424723941,192.7,26.011728124059733,172.3,24.674075463935825,154.9,23.5306183514161
312.6552655265527,208.2,31.18589424723941,192.8,26.003076741032014,172.3,24.674075463935825,154.9,23.5306183514161
312.72727272727275,208.3,31.119286624214247,192.8,26.003076741032014,172.3,24.674075463935825,154.9,23.5306183514161
