MP ID,Time (hours),Depth (m)
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",294.36543654365437,95.8076486483966
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",294.43744374437443,95.74153048458022
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",294.5094509450945,95.67541232076385
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",294.58145814581457,95.60929415694747
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",294.6534653465347,95.54317599313104
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",294.72547254725475,95.47705782931467
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",294.7974797479748,95.41093966549829
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",294.8694869486949,95.3448215016819
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",294.94149414941495,95.27870333786554
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",295.013501350135,95.21258517404917
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",295.0855085508551,95.14646701023278
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",295.15751575157515,95.08034884641641
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",295.2295229522952,95.01423068260004
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",295.30153015301534,94.9481125187836
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",295.3735373537354,94.88199435496723
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",295.44554455445547,94.81587619115086
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",295.51755175517553,94.74975802733448
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",295.5895589558956,94.6836398635181
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",295.66156615661566,94.61752169970174
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",295.73357335733573,94.55140353588536
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",295.8055805580558,94.48528537206897
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",295.87758775877586,94.4191672082526
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",295.949594959496,94.35304904443618
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",296.02160216021605,94.28693088061979
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",296.0936093609361,94.22081271680342
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",296.1656165616562,94.15469455298705
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",296.23762376237624,94.08857638917067
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",296.3096309630963,94.0224582253543
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",296.3816381638164,93.95634006153793
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",296.45364536453644,93.89022189772155
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",296.5256525652565,93.82410373390516
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",296.59765976597663,93.75798557008875
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",296.6696669666967,93.69186740627237
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",296.74167416741676,93.62574924245598
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",296.8136813681368,93.55963107863961
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",296.8856885688569,93.49351291482324
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",296.95769576957696,93.42739475100686
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",297.029702970297,93.36127658719049
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",297.1017101710171,93.29515842337412
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",297.17371737173715,93.22904025955773
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",297.2457245724573,93.16292209574131
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",297.31773177317734,93.09680393192494
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",297.3897389738974,93.03068576810855
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",297.4617461746175,92.96456760429217
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",297.53375337533754,92.8984494404758
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",297.6057605760576,92.83233127665943
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",297.67776777677767,92.76621311284305
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",297.74977497749774,92.70009494902668
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",297.82178217821786,92.63397678521025
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",297.8937893789379,92.56785862139387
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",297.965796579658,92.5017404575775
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",298.03780378037806,92.43562229376113
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",298.1098109810981,92.36950412994474
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",298.1818181818182,92.30338596612836
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",298.25382538253825,92.237267802312
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",298.3258325832583,92.17114963849562
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",298.3978397839784,92.10503147467924
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",298.4698469846985,92.03891331086282
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",298.5418541854186,91.97279514704644
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",298.61386138613864,91.90667698323006
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",298.6858685868587,91.84055881941369
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",298.75787578757877,91.77444065559732
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",298.82988298829883,91.70832249178093
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",298.9018901890189,91.64220432796456
"(231.93519351935194, 153.13209667719946, 0.00019999999999999998)",298.97389738973897,91.5760861641482
